angulo,posicion
0,0.0
1,6.853456998782773e-05
2,0.0002740860935883424
3,0.000616498065755515
4,0.0010955098248262227
5,0.0017107568224205513
6,0.00246177100086194
7,0.003347981277677752
8,0.004368714136616231
9,0.005523194324491615
10,0.006810545653045847
11,0.008229791904893813
12,0.009779857842497422
13,0.011459570318993924
14,0.01326765948958615
15,0.015202760122084952
16,0.01726341300507929
17,0.019448066452095937
18,0.021755077899999663
19,0.024182715599775598
20,0.026729160397728092
21,0.029392507605026184
22,0.0321707689534237
23,0.03506187463488231
24,0.03806367542272903
25,0.04117394487188593
26,0.04439038159561914
27,0.04771061161616561
28,0.05113219078651192
29,0.054652607280518184
30,0.05826928414850129
31,0.06197958193531837
32,0.06578080135791856
33,0.06967018603926584
34,0.07364492529547059
35,0.07770215697290797
36,0.08183897033204603
37,0.08605240897465291
38,0.09033947381100624
39,0.09469712606368258
40,0.09912229030446511
41,0.10361185752087261
42,0.1081626882087808
43,0.11277161548757958
44,0.1174354482342878
45,0.1221509742330268
46,0.12691496333624125
47,0.1317241706340449
48,0.1365753396280624
49,0.14146520540613955
50,0.1463904978142935
51,0.1513479446222855
52,0.1563342746792082
53,0.16134622105549531
54,0.16638052416778434
55,0.1714339348830835
56,0.17650321759872703
57,0.18158515329463268
58,0.18667654255441452
59,0.19177420855194413
60,0.19687499999999997
61,0.20197579405769192
62,0.20707349919340406
63,0.21216505800005356
64,0.21724744995952586
65,0.22231769415321045
66,0.22737285191563075
67,0.23241002942823194
68,0.23742638025046894
69,0.24241910778541081
70,0.24738546767716701
71,0.25232277013751786
72,0.2572283821992276
73,0.2620997298936053
74,0.2669343003499741
75,0.2717296438148076
76,0.27648337558838937
77,0.2811931778769585
78,0.2858568015584005
79,0.2904720678596592
80,0.295036869944148
81,0.2995491744075504
82,0.30400702268051566
83,0.30840853233686666
84,0.3127518983060546
85,0.3170353939887136
86,0.32125737227428514
87,0.325416266459803
88,0.3295105910690524
89,0.3335389425714354
90,0.3375
91,0.3413925254682129
92,0.34521536458517776
93,0.34896744676912766
94,0.35264778545914155
95,0.3562554782251598
96,0.3597897067764986
97,0.363249736869183
98,0.36663491811254517
99,0.36994468367565436
100,0.37317854989426663
101,0.37633611577910436
102,0.3794170624263921
103,0.38242115233169777
104,0.3853482286082399
105,0.38819821411094185
106,0.3909711104676238
107,0.39366699701883684
108,0.39628602966795395
109,0.39882843964323833
110,0.40129453217371797
111,0.40368468508079597
112,0.4059993472876293
113,0.40823903724840516
114,0.4104043412997408
115,0.4124959119365252
116,0.41451446601461067
117,0.41646078288284966
118,0.4183357024470549
119,0.4201401231685436
120,0.421875
121,0.4235413422614686
122,0.4251402114593567
123,0.4266727190513948
124,0.428140024160563
125,0.4295433312410542
126,0.43088388769939723
127,0.4321629814739171
128,0.4333819385757544
129,0.43454212059471237
130,0.43564492217323614
131,0.43669176845186786
132,0.43768411248954864
133,0.4386234326621692
134,0.4395112300427901
135,0.4403490257669732
136,0.44113835838668086
137,0.4418807812162063
138,0.4425778596736082
139,0.44323116862112005
140,0.4438422897080052
141,0.4444128087193195
142,0.44494431293403114
143,0.44543838849593465
144,0.4458966178007724
145,0.44632057690295424
146,0.4467118329452393
147,0.4470719416147066
148,0.44740244462831025
149,0.4477048672512689
150,0.44798071585149873
151,0.44823147549324627
152,0.448458607573029
153,0.4486635475009311
154,0.4488477024302443
155,0.4490124490383784
156,0.44915913136189944
157,0.44928905868848046
158,0.4494035035084781
159,0.44950369952876695
160,0.4495908397513869
161,0.44966607461946817
162,0.4497305102328188
163,0.44978520663546195
164,0.44983117617732277
165,0.4498693819521657
166,0.4499007363137845
167,0.44992609947234985
168,0.44994627817271
169,0.4499620244563426
170,0.44997403450853946
171,0.4499829475923036
172,0.44998934507032284
173,0.44999374951627263
174,0.4499966239165849
175,0.44999837096370604
176,0.4499993324417471
177,0.4499997887053137
178,0.4499999582521815
179,0.4499999973903639
180,0.45
181,0.4499999973903639
182,0.4499999582521815
183,0.4499997887053137
184,0.44999933244174717
185,0.44999837096370604
186,0.44999662391658496
187,0.4499937495162727
188,0.44998934507032284
189,0.4499829475923036
190,0.4499740345085395
191,0.4499620244563426
192,0.44994627817271
193,0.44992609947234985
194,0.4499007363137845
195,0.4498693819521657
196,0.44983117617732277
197,0.4497852066354619
198,0.4497305102328188
199,0.44966607461946817
200,0.4495908397513869
201,0.44950369952876695
202,0.4494035035084781
203,0.4492890586884805
204,0.44915913136189944
205,0.4490124490383784
206,0.4488477024302443
207,0.4486635475009312
208,0.4484586075730291
209,0.44823147549324627
210,0.4479807158514987
211,0.4477048672512689
212,0.44740244462831025
213,0.44707194161470665
214,0.4467118329452393
215,0.4463205769029543
216,0.4458966178007724
217,0.4454383884959347
218,0.44494431293403114
219,0.44441280871931954
220,0.4438422897080052
221,0.44323116862112005
222,0.4425778596736082
223,0.44188078121620633
224,0.44113835838668086
225,0.4403490257669732
226,0.4395112300427901
227,0.4386234326621693
228,0.43768411248954864
229,0.4366917684518679
230,0.4356449221732362
231,0.43454212059471237
232,0.43338193857575447
233,0.4321629814739171
234,0.4308838876993973
235,0.42954333124105426
236,0.4281400241605631
237,0.4266727190513948
238,0.42514021145935676
239,0.42354134226146856
240,0.42187500000000006
241,0.4201401231685436
242,0.4183357024470549
243,0.41646078288284966
244,0.4145144660146107
245,0.4124959119365253
246,0.4104043412997408
247,0.4082390372484052
248,0.4059993472876294
249,0.403684685080796
250,0.4012945321737181
251,0.3988284396432384
252,0.39628602966795395
253,0.39366699701883695
254,0.39097111046762373
255,0.3881982141109419
256,0.3853482286082399
257,0.3824211523316978
258,0.3794170624263922
259,0.37633611577910453
260,0.37317854989426663
261,0.36994468367565436
262,0.36663491811254506
263,0.36324973686918294
264,0.3597897067764986
265,0.3562554782251598
266,0.3526477854591416
267,0.3489674467691279
268,0.345215364585178
269,0.3413925254682129
270,0.3375000000000001
271,0.33353894257143546
272,0.32951059106905234
273,0.325416266459803
274,0.32125737227428514
275,0.31703539398871367
276,0.3127518983060547
277,0.30840853233686655
278,0.3040070226805157
279,0.29954917440755047
280,0.29503686994414813
281,0.29047206785965934
282,0.28585680155840065
283,0.2811931778769585
284,0.2764833755883895
285,0.2717296438148074
286,0.2669343003499741
287,0.2620997298936053
288,0.25722838219922767
289,0.252322770137518
290,0.2473854676771672
291,0.24241910778541112
292,0.23742638025046894
293,0.23241002942823208
294,0.22737285191563059
295,0.22231769415321043
296,0.21724744995952586
297,0.21216505800005364
298,0.2070734991934042
299,0.20197579405769212
300,0.19687499999999997
301,0.1917742085519442
