angulo,velocidad
0,0.0
1,0.8223626480858415
2,1.6440991138649619
3,2.4645838634833086
4,3.283192659236995
5,4.099303205760349
6,4.912295793952073
7,5.7215539418897965
8,6.526465031986892
9,7.326420943650039
10,8.120818680701309
11,8.909060992834993
12,9.69055699038644
13,10.464722751698352
14,11.230981922378774
15,11.988766305754895
16,12.737516443837297
17,13.476682188120723
18,14.20572325955971
19,14.924109797070459
20,15.631322893924022
21,16.32685512141067
22,17.010211039170365
23,17.68090769160059
24,18.338475089769243
25,18.982456678278016
26,19.612409786539615
27,20.227906063951004
28,20.82853189846418
29,21.413888818076018
30,21.983593874779196
31,22.5372800105374
32,23.07459640486949
33,23.595208803649523
34,24.09879982875216
35,24.585069268195756
36,25.053734346459258
37,25.504529974672423
38,25.93720898040347
39,26.351542316792454
40,26.747319250803653
41,27.124347530395237
42,27.48245353042991
43,27.82148237717552
44,28.141298051270642
45,28.441783469055594
46,28.72284054219573
47,28.984390215549436
48,29.22637248325974
49,29.448746383074237
50,29.651489968924327
51,29.834600261820743
52,29.998093179148167
53,30.14200344246792
54,30.266384463963057
55,30.371308211685985
56,30.456865053794075
57,30.523163581983624
58,30.570330414357688
59,30.598509977987604
60,30.607864271452424
61,30.598572607664256
62,30.5708313373111
63,30.524853553271754
64,30.460868776380185
65,30.37912262293871
66,30.27987645440134
67,30.163407009669474
68,30.030006020463055
69,29.879979810250283
70,29.713648877238274
71,29.531347461946275
72,29.333423099900877
73,29.120236160010556
74,28.89215936919345
75,28.649577323848764
76,28.39288598877735
77,28.122492184171907
78,27.838813061311196
79,27.542275567605643
80,27.23331590165436
81,26.912378958985084
82,26.579917769159028
83,26.236392924933103
84,25.882272004180624
85,25.51802898527978
86,25.144143656687017
87,24.761101021418305
88,24.369390697167418
89,23.969506312794632
90,23.561944901923447
91,23.147206294385448
92,22.72579250625587
93,22.29820712922313
94,21.86495472003612
95,21.426540190772155
96,20.98346820066684
97,20.536242550244864
98,20.08536557848702
99,19.63133756376458
100,19.174656129266996
101,18.71581565364268
102,18.255306687565895
103,17.793615376934675
104,17.331222893396294
105,16.86860487288704
106,16.40623086286287
107,15.944563778886227
108,15.48405937122246
109,15.025165702086216
110,14.568322634164963
111,14.113961331032238
112,13.662503770048238
113,13.214362268329564
114,12.769939022353467
115,12.329625661744723
116,11.893802817775423
117,11.462839707089534
118,11.037093731144854
119,10.616910091845472
120,10.20262142381748
121,9.794547443759631
122,9.392994617279887
123,8.998255843606223
124,8.610610158538433
125,8.230322455984378
126,7.85764322840139
127,7.492808326439759
128,7.1360387380613455
129,6.787540387382203
130,6.44750395346365
131,6.1161047092512115
132,5.793502380836013
133,5.479841027187873
134,5.1752489404840984
135,4.87983856713215
136,4.593706449558996
137,4.316933188813951
138,4.0495834280061835
139,3.7917058565722193
140,3.543333235342976
141,3.3044824423539203
142,3.075154539316652
143,2.8553348586442637
144,2.6449931108975924
145,2.4440835124941453
146,2.2525449334965115
147,2.070301065272118
148,1.8972606077916836
149,1.7333174763094337
150,1.5783510271442482
151,1.4322263022572321
152,1.2947942922979283
153,1.1658922177687812
154,1.0453438279348588
155,0.9329597170840271
156,0.8285376577213692
157,0.7318629502606857
158,0.6427087887555492
159,0.5608366421926244
160,0.4859966508507106
161,0.41792803721039873
162,0.356359530881286
163,0.3010098069963887
164,0.2515879375067108
165,0.20779385479317278
166,0.1693188269977208
167,0.13584594446111495
168,0.10705061664113498
169,0.08260107887203562
170,0.06215890831394279
171,0.04537954842953962
172,0.03191284131488972
173,0.021403567201548703
174,0.013491990438285646
175,0.00781441125272272
176,0.00400372258610444
177,0.0016899712881290878
178,0.0005009229534118831
179,6.262967665475579e-05
180,0.0
181,-6.262967665475579e-05
182,-0.0005009229534120466
183,-0.0016899712881290878
184,-0.004003722586104113
185,-0.007814411252722392
186,-0.013491990438285646
187,-0.02140356720154903
188,-0.03191284131488972
189,-0.04537954842953962
190,-0.06215890831394344
191,-0.08260107887203497
192,-0.10705061664113433
193,-0.13584594446111561
194,-0.1693188269977208
195,-0.20779385479317147
196,-0.25158793750670816
197,-0.3010098069963861
198,-0.35635953088128863
199,-0.4179280372103961
200,-0.48599665085070926
201,-0.5608366421926257
202,-0.6427087887555478
203,-0.7318629502606818
204,-0.8285376577213652
205,-0.9329597170840258
206,-1.0453438279348575
207,-1.165892217768776
208,-1.2947942922979256
209,-1.4322263022572297
210,-1.5783510271442496
211,-1.7333174763094312
212,-1.8972606077916836
213,-2.070301065272122
214,-2.252544933496509
215,-2.444083512494135
216,-2.644993110897589
217,-2.8553348586442624
218,-3.075154539316643
219,-3.3044824423539194
220,-3.543333235342972
221,-3.791705856572222
222,-4.049583428006179
223,-4.31693318881395
224,-4.593706449558999
225,-4.879838567132147
226,-5.175248940484084
227,-5.479841027187861
228,-5.793502380836007
229,-6.116104709251208
230,-6.447503953463646
231,-6.787540387382207
232,-7.136038738061349
233,-7.492808326439764
234,-7.857643228401386
235,-8.230322455984362
236,-8.61061015853842
237,-8.998255843606227
238,-9.392994617279882
239,-9.794547443759622
240,-10.202621423817462
241,-10.616910091845476
242,-11.037093731144848
243,-11.462839707089529
244,-11.893802817775418
245,-12.329625661744705
246,-12.769939022353467
247,-13.214362268329559
248,-13.66250377004823
249,-14.113961331032227
250,-14.568322634164943
251,-15.02516570208621
252,-15.484059371222452
253,-15.944563778886211
254,-16.406230862862873
255,-16.868604872887047
256,-17.331222893396294
257,-17.793615376934664
258,-18.255306687565877
259,-18.71581565364266
260,-19.174656129266996
261,-19.63133756376458
262,-20.085365578487032
