angulo,velocidad
263,-20.536242550244868
264,-20.98346820066684
265,-21.426540190772155
266,-21.864954720036117
267,-22.298207129223112
268,-22.725792506255846
269,-23.147206294385448
270,-23.561944901923443
271,-23.969506312794625
272,-24.36939069716742
273,-24.761101021418305
274,-25.144143656687017
275,-25.518028985279777
276,-25.882272004180617
277,-26.23639292493311
278,-26.57991776915902
279,-26.91237895898508
280,-27.233315901654358
281,-27.542275567605625
282,-27.838813061311182
283,-28.122492184171907
284,-28.392885988777348
285,-28.649577323848774
286,-28.892159369193454
287,-29.120236160010556
288,-29.333423099900877
289,-29.531347461946268
290,-29.713648877238267
291,-29.879979810250273
292,-30.030006020463055
293,-30.16340700966947
294,-30.279876454401347
295,-30.37912262293871
296,-30.460868776380185
297,-30.524853553271754
298,-30.5708313373111
299,-30.598572607664256
300,-30.607864271452424
301,-30.598509977987604
302,-30.570330414357688
303,-30.52316358198363
304,-30.456865053794083
305,-30.371308211685985
306,-30.266384463963057
307,-30.14200344246792
308,-29.998093179148167
309,-29.834600261820743
310,-29.651489968924334
311,-29.448746383074244
312,-29.226372483259752
313,-28.984390215549453
314,-28.72284054219574
315,-28.441783469055597
316,-28.141298051270645
317,-27.821482377175517
318,-27.482453530429908
319,-27.124347530395244
320,-26.747319250803663
321,-26.35154231679247
322,-25.93720898040349
323,-25.504529974672423
324,-25.053734346459265
325,-24.585069268195774
326,-24.09879982875217
327,-23.59520880364952
328,-23.07459640486952
329,-22.537280010537415
330,-21.983593874779217
331,-21.41388881807601
332,-20.82853189846418
333,-20.22790606395101
334,-19.612409786539597
335,-18.982456678278037
336,-18.338475089769243
337,-17.68090769160063
338,-17.010211039170382
339,-16.32685512141069
340,-15.631322893924017
341,-14.924109797070495
342,-14.20572325955972
343,-13.4766821881207
344,-12.737516443837324
345,-11.988766305754892
346,-11.230981922378781
347,-10.464722751698368
348,-9.690556990386467
349,-8.909060992834986
350,-8.120818680701353
351,-7.3264209436500485
352,-6.5264650319869135
353,-5.721553941889826
354,-4.9122957939520715
355,-4.099303205760355
356,-3.2831926592369705
357,-2.4645838634833344
358,-1.6440991138649548
359,-0.8223626480858857
360,-1.1542024162330739e-14
